Light,Temperature,Date,Time
798.00,24.69,2020-09-17,18:41:48
797.00,4.51,2020-09-17,18:41:58
797.00,4.51,2020-09-17,18:42:08
795.00,24.60,2020-09-17,18:42:18
794.00,24.69,2020-09-17,18:42:28
796.00,24.60,2020-09-17,18:42:38
797.00,24.60,2020-09-17,18:42:48
796.00,24.60,2020-09-17,18:42:58
795.00,24.60,2020-09-17,18:43:08
795.00,4.60,2020-09-17,18:43:18
792.00,4.51,2020-09-17,18:43:28
797.00,24.60,2020-09-17,18:43:38
799.00,24.60,2020-09-17,18:43:48
801.00,24.60,2020-09-17,18:43:58
798.00,24.60,2020-09-17,18:44:08
801.00,4.60,2020-09-17,18:44:18
801.00,24.69,2020-09-17,18:44:28
800.00,24.60,2020-09-17,18:44:38
801.00,4.60,2020-09-17,18:44:48
801.00,24.60,2020-09-17,18:44:58
803.00,4.69,2020-09-17,18:45:08
801.00,24.60,2020-09-17,18:45:18
801.00,23.71,2020-09-17,18:45:28
802.00,24.60,2020-09-17,18:45:38
802.00,4.60,2020-09-17,18:45:48
804.00,24.42,2020-09-17,18:45:58
802.00,24.33,2020-09-17,18:46:08
803.00,4.33,2020-09-17,18:46:18
806.00,24.33,2020-09-17,18:46:28
805.00,4.42,2020-09-17,18:46:38
806.00,24.51,2020-09-17,18:46:48
806.00,24.51,2020-09-17,18:46:58
800.00,24.51,2020-09-17,18:47:08
798.00,4.87,2020-09-17,18:47:18
801.00,24.60,2020-09-17,18:47:28
799.00,4.60,2020-09-17,18:47:38
765.00,4.51,2020-09-17,18:47:48
799.00,24.42,2020-09-17,18:47:58
798.00,4.51,2020-09-17,18:48:08
799.00,4.51,2020-09-17,18:48:18
798.00,4.33,2020-09-17,18:48:28
799.00,24.42,2020-09-17,18:48:38
798.00,24.42,2020-09-17,18:48:48
799.00,24.42,2020-09-17,18:48:58
798.00,24.42,2020-09-17,18:49:08
799.00,4.51,2020-09-17,18:49:18
798.00,24.51,2020-09-17,18:49:28
797.00,24.51,2020-09-17,18:49:38
798.00,4.60,2020-09-17,18:49:48
796.00,4.60,2020-09-17,18:49:58
797.00,4.69,2020-09-17,18:50:08
797.00,24.60,2020-09-17,18:50:18
798.00,24.60,2020-09-17,18:50:28
798.00,4.60,2020-09-17,18:50:38
795.00,4.60,2020-09-17,18:50:48
797.00,.51,2020-09-17,18:50:58
796.00,24.69,2020-09-17,18:51:08
798.00,4.60,2020-09-17,18:51:18
795.00,4.51,2020-09-17,18:51:28
796.00,4.51,2020-09-17,18:51:38
